vernacular,latin,type
amla,phyllanthaceae,family
amla,phyllanthus,genus
amla,phyllanthus_emblica,species
basil,lamiaceae,family
basil,ocimum,genus
basil,ocimum_basilicum,species
broccoli,brassicaceae,family
broccoli,brassica,genus
broccoli,brassica_oleracea,species
carrot,apiaceae,family
carrot,daucus,genus
carrot,daucus_carota,species
chamomile,asteraceae,family
chamomile,matricaria,genus
chamomile,matricaria_chamomilla,species
cumin,cuminum_cyminum,species
cumin,cuminum,genus
cumin,apiaceae,family
echinacea,echinacea_purpurea,species
echinacea,echinacea,genus
echinacea,asteraceae,family
fenugreek,trigonella_foenum_graecum,species
fenugreek,trigonella,genus
fenugreek,fabaceae,family
garlic,allium_sativum,species
garlic,allium,genus
garlic,amaryllidaceae,family
ginger,zingiber_officinale,species
ginger,zingiber,genus
ginger,zingiberaceae,family
long_pepper,piperaceae,family
long_pepper,piper_longum,species
long_pepper,piper,genus
tulsi,ocimum_tenuiflorum,species
tulsi,ocimum,genus
tulsi,lamiaceae,family
turmeric,curcuma_longa,species
turmeric,curcuma,genus
turmeric,zingiberaceae,family
orange,rutaceae,family
orange,citrus,genus
orange,citrus_×_sinensis,species
orange,citrus_sinensis,species
lemon,rutaceae,family
lemon,citrus,genus
lemon,citrus_limon,species
cauliflower,brassica_oleracea,species
brussels_sprout,brassica_oleracea,species
brussels_sprouts,brassica_oleracea,species
collard,brassica_oleracea,species
collards,brassica_oleracea,species
kale,brassica_oleracea,species
kohlrabi,brassica_oleracea,species
